dashboard_category,indicator,metric,geography,period,dimension_values,value_raw,value_readable,value_unit,rank_descending_within_source,source_country_count,source_chapter,source_figure,source_csv,source_chart_pdf,relevance_note,original_fields_json
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,10/1/24,"{""date"": ""10/1/24""}",0.01517,0.0152,index,40,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""10/1/24"", ""relative_ai_hiring_index"": ""0.01517""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,10/1/25,"{""date"": ""10/1/25""}",0.14805,0.148,index,7,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""10/1/25"", ""relative_ai_hiring_index"": ""0.14805""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,11/1/18,"{""date"": ""11/1/18""}",0.04209,0.0421,index,27,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""11/1/18"", ""relative_ai_hiring_index"": ""0.04209""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,11/1/19,"{""date"": ""11/1/19""}",0.0463,0.0463,index,17,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""11/1/19"", ""relative_ai_hiring_index"": ""0.0463""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,11/1/20,"{""date"": ""11/1/20""}",0.05762,0.0576,index,15,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""11/1/20"", ""relative_ai_hiring_index"": ""0.05762""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,11/1/21,"{""date"": ""11/1/21""}",-0.0294,-0.0294,index,30,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""11/1/21"", ""relative_ai_hiring_index"": ""-0.0294""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,11/1/22,"{""date"": ""11/1/22""}",-0.02016,-0.0202,index,12,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""11/1/22"", ""relative_ai_hiring_index"": ""-0.02016""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,11/1/23,"{""date"": ""11/1/23""}",0.02968,0.0297,index,11,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""11/1/23"", ""relative_ai_hiring_index"": ""0.02968""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,11/1/24,"{""date"": ""11/1/24""}",0.04413,0.0441,index,37,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""11/1/24"", ""relative_ai_hiring_index"": ""0.04413""}"
Industrial adoption and deployment,"AI vs. overall hiring rate growth by geographic area, 2018–25",relative_ai_hiring_index,South Korea,11/1/25,"{""date"": ""11/1/25""}",0.12905,0.129,index,8,46,4. Economy,fig_4.4.16,4. Economy\Data\fig_4.4.16.csv,4. Economy\Charts\fig_4.4.16.pdf,"Korea-specific AI diffusion, labor market, or robotics deployment indicator.","{""country"": ""South Korea"", ""date"": ""11/1/25"", ""relative_ai_hiring_index"": ""0.12905""}"
